Experiment,Date,Manipulator Angle,Temperature,Cr,Ni,Mo,W,Folder Path,
ni22cr native oxide,10/23/23,0,23,0.22,0.78,0,0,/Users/apple/Sync/Research/Native Oxide work/10-13-23 Ni22Cr Native Oxide,
Ni15cr native oxide,4/12/21,-25,275,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/275 C/- 25 deg rot,
Ni15cr native oxide,4/13/21,-12.5,275,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/275 C/- 12.5 deg rot,
Ni15cr native oxide,4/14/21,0,275,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/275 C/0 deg rot,
Ni15cr native oxide,4/15/21,12.5,275,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/275 C/+ 12.5 deg rot,
Ni15cr native oxide,4/16/21,25,275,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/275 C/+ 25 deg rot,
Ni15cr native oxide,4/17/21,-12.5,400,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/400 C/- 12.5 deg rot,
Ni15cr native oxide,4/18/21,0,400,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/400 C/0 deg rot,
Ni15cr native oxide,4/19/21,12.5,400,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/400 C/+ 12.5 deg rot,
Ni15cr native oxide,4/20/21,25,400,0.15,0.85,0,0,/Users/apple/Sync/Research/Native Oxide work/Anna ambient oxide NiCr work/exported Ni15Cr air-oxide anneal/400 C/+ 25 deg rot,
