Material,Type,H,E,UTS,r,TM,CTE,TC
Indium,Elemental_Metal,0.3,0.0635,0.01419558,0.8194881,0.10790378,2.395522388,0.911
Lead,Elemental_Metal,0.375,0.07,0.05678233,1.27413561,0.225429553,2.156716418,0.389
Tin (beta),Elemental_Metal,0.375,0.21475,0.69400631,0.81836551,0.159450172,1.641791045,0.722
Titanium,Elemental_Metal,1.5,0.58,0.69400631,0.5051639,1.140893471,0.641791045,0.233
Tungsten,Elemental_Metal,1.9375,2,3.09148265,2.16659183,2.316151203,0.335820896,1.867
Molybdenum (annealed),Elemental_Metal,1.375,1.65,1.06309148,1.14728334,1.800687285,0.358208955,1.55
Zirconium,Elemental_Metal,1.25,0.4725,1.04100946,0.73304894,1.271477663,0.425373134,0.255
Tantalum (annealed),Elemental_Metal,1.625,0.93,1.41955836,1.86910642,2.06185567,0.470149254,0.6
Gold,Elemental_Metal,0.6875,0.386,0.3785489,2.168837,0.728522337,1.059701493,3.5
Silver,Elemental_Metal,0.6875,0.38,0.44164038,1.17759317,0.661168385,1.410447761,4.522
Lanthanum,Elemental_Metal,0.6875,0.183,0.41009464,0.69263583,0.632302405,0.902985075,0.144
Cadmium,Elemental_Metal,0.5,0.276,0.23659306,0.96991468,0.220618557,2.298507463,1.031
Zinc,Elemental_Metal,0.6875,0.4825,0.11671924,0.79703637,0.288659794,2.253731343,1.289
Aluminum,Elemental_Metal,0.6875,0.345,0.978,0.303,0.453608247,0.791,2.267
Antimony,Elemental_Metal,0.75,0.389,0.03596215,0.74292771,0.433676976,0.820895522,0.211
Platinum,Elemental_Metal,0.875,0.84,0.45741325,2.40794791,1.21532646,0.656716418,0.811
Palladium,Elemental_Metal,1.25,0.605,0.56782334,1.34968568,1.068659794,0.880597015,0.75
Nickel,Elemental_Metal,1,1,1,1,1,1,1
Vanadium,Elemental_Metal,1.75,0.64,2.52365931,0.68590031,1.312714777,0.626865672,0.678
Iron,Elemental_Metal,1,1.055,0.61514196,0.88392456,1.057044674,0.880597015,0.811
Copper,Elemental_Metal,0.75,0.65,0.69400631,1.00583745,0.745704467,1.231343284,4.289
Chromium,Elemental_Metal,2.125,1.395,0.88328076,0.80713965,1.310652921,0.485,1
Rhodium,Elemental_Metal,1.5,1.375,3,1.39762012,1.349828179,0.611940299,1.67
Magnesium,Elemental_Metal,0.6875,0.225,0.06309148,0.19510552,0.446735395,1.865671642,1.77
Beryllium,Elemental_Metal,1.375,1.435,1.16719243,0.20745397,0.884536082,0.843283582,2.42
Alumina,Technical_Ceramic,2.25,1.965,1.15772871,0.42995061,1.424054983,0.626865672,0.311
WC,Technical_Ceramic,2.25,3,1.41955836,1.74000898,1.972508591,0.544776119,0.667
Barium Titanate,Technical_Ceramic,1.25,0.335,0.13249211,0.67579704,1.116838488,0.470149254,0.061
AlN,Technical_Ceramic,1.25,1.65,0.73817035,0.36596318,1.512027491,0.395522388,2
Zirconia,Technical_Ceramic,2.125,1,1.30283912,0.67579704,1.865979381,0.78358209,0.033
MgO,Technical_Ceramic,1.45,1.5,0.39432177,0.40413112,1.941580756,0.78358209,0.522
Silicon Nitride,Technical_Ceramic,2.125,1.16,0.92429022,0.3558599,1.305841924,0.190298507,0.222
BeO,Technical_Ceramic,2.25,1.725,0.60567823,0.33789852,1.723024055,0.671641791,3.33
Boron Carbide,Technical_Ceramic,2.375,2.06,1.30914826,0.27166592,1.863917526,0.223880597,0.411
Titanium Diboride,Technical_Ceramic,2.4375,2.1,1.12302839,0.50404131,2.236426117,0.52238806,1
Boron Nitride,Technical_Ceramic,2.4375,0.3,0.17350158,0.23574315,2.250859107,0.089552239,0.278
Mullite,Technical_Ceramic,1.625,0.715,0.34700315,0.3143242,1.264604811,0.402985075,0.089
Tantalum Carbide,Technical_Ceramic,2.125,1.875,0.61041009,1.62775034,2.611683849,0.373134328,2
Cordierite,Technical_Ceramic,1.75,0.625,0.08044164,0.29187247,1.010309278,0.149253731,0.0139
a-SiC,Technical_Ceramic,2.375,2.38,0.97791798,0.36035025,1.87628866,0.328358209,2.5
Fused Silica (glass),Technical_Ceramic,1.475,0.3585,0.15236593,0.24730579,1.178694158,0.041044776,0.0144
Titanium Nitride,Technical_Ceramic,2.25,1.255,0.01577287,0.58599012,2.027491409,0.694029851,0.278
Forsterite,Technical_Ceramic,1.75,0.75,0.19574132,0.3143242,1.298969072,0.73880597,0.055
TiC,Technical_Ceramic,2.3125,2.25,0.81388013,0.5545577,2.10652921,0.447761194,1.222
Calcium Fluoride,Technical_Ceramic,1,0.379,0.49526814,0.35698249,0.978006873,1.395522388,0.108
Steatite,Technical_Ceramic,0.4375,0.69,0.1955836,0.30422093,1.099656357,0.559701493,0.036666667
Soda-lime glass,Technical_Ceramic,1.5,0.35,0.10410095,0.27727885,0.714776632,0.671641791,0.011111111
Borosilicate glass,Technical_Ceramic,1.875,0.3125,0.0851735,0.25258195,0.563573883,0.298507463,0.013333333
Brick,Technical_Ceramic,1.625,0.15,0.03154574,0.22451729,0.740206186,0.373134328,0.006666667
Concrete,Technical_Ceramic,1.625,0.155,0.0126183,0.26942075,0.740206186,0.970149254,0.008888889
