X1,X2,X3,X4,X5,Y
50,30,20,90,0,42.147
116.6667,30,20,54.7356,45,70.5111
183.3333,30,20,54.7356,45,86.0412
250,30,20,90,0,106.9356
116.6667,70,20,45,0,64.1409
183.3333,70,20,45,9.35E-07,88.4773
250,70,20,90,0,105.5146
250,70,56.6667,45,0,154.3889
116.6667,110,20,45,0,35.8261
183.3333,110,20,72.3678,45,77.4896
250,110,20,68.6329,22.5,87.6307
250,110,56.6667,67.5,0,155.6463
250,110,93.3333,67.5,0,185.6217
183.3333,150,20,67.5,4.34E-06,62.6334
183.3333,150,56.6667,67.5,0,101.1719
183.3333,150,93.3333,54.7356,45,128.0287
183.3333,150,130,67.5,0,140.7646
250,150,20,45,0,84.5918
250,150,56.6667,90,0,145.3179
250,150,93.3333,54.7356,45,178.0743
250,150,130,90,45,198.0441
75,30,20,67.5,0,56.6543
75,47.1429,20,67.5,5.56E-06,51.1932
75,64.2857,20,47.2658,22.5,43.6677
100,30,20,47.2658,22.5,63.2382
100,47.1429,20,90,0,64.2066
100,64.2857,20,67.5,0,58.3453
100,81.4286,20,67.5,0,47.5984
125,30,20,72.3678,45,71.7173
125,47.1429,20,47.2658,22.5,69.0504
125,64.2857,20,67.5,0,70.6742
125,81.4286,20,90,45,64.5482
125,98.5714,20,90,0,55.436
125,115.7143,20,90,0,39.178
150,115.7143,111.6667,47.2658,22.5,151.6627
150,132.8571,38.3333,67.5,5.40E-06,68.0673
150,132.8571,56.6667,67.5,5.44E-06,82.0096
175,132.8571,130,45,0,157.9847
175,150,38.3333,68.6329,22.5,90.374
175,150,56.6667,45,0,97.4885
175,150,75,90,0,106.0252
200,132.8571,130,54.7356,45,175.0801
200,150,38.3333,68.6329,22.5,103.657
200,150,56.6667,67.5,0,115.6168
200,150,93.3333,72.3678,45,155.5264
200,150,111.6667,67.5,0,150.4496
200,150,130,68.6329,22.5,195.9138
225,132.8571,130,67.5,0,186.8001
225,150,38.3333,54.7356,45,112.3271
225,150,56.6667,54.7356,45,133.6832
225,150,75,68.6329,22.5,161.4618
225,150,93.3333,67.5,0,159.849
225,150,111.6667,45,2.11E-06,172.5776
225,150,130,90,45,182.0968
250,47.1429,38.3333,68.6329,22.5,124.0072
250,64.2857,38.3333,72.3678,45,131.4319
250,64.2857,56.6667,72.3678,45,155.345
250,81.4286,38.3333,47.2658,22.5,126.9021
250,81.4286,56.6667,72.3678,45,155.2959
250,81.4286,75,68.6329,22.5,173.5385
250,98.5714,38.3333,45,4.47E-06,134.4311
250,98.5714,56.6667,54.7356,45,155.6802
250,98.5714,75,54.7356,45,174.0778
250,98.5714,93.3333,67.5,0,187.451
250,115.7143,38.3333,47.2658,22.5,124.9991
250,115.7143,56.6667,45,6.64E-06,154.1632
250,115.7143,75,67.5,0,171.1317
250,115.7143,93.3333,67.5,3.17E-06,185.2522
250,115.7143,111.6667,45,0,202.0556
250,132.8571,38.3333,67.5,6.17E-07,128.1181
250,132.8571,56.6667,45,7.41E-06,150.3529
250,132.8571,75,45,0,169.8155
250,132.8571,93.3333,72.3678,45,186.6323
250,132.8571,111.6667,68.6329,22.5,207.8307
250,132.8571,130,54.7356,45,206.0812
250,150,38.3333,68.6329,22.5,119.6056
250,150,75,67.5,5.76E-06,162.303
250,150,111.6667,90,45,187.941
50,30,29.1667,45,6.80E-06,49.2197
70,30,20,54.7356,45,54.1418
70,30,29.1667,90,0,62.9945
90,30,20,72.3678,45,61.439
90,30,29.1667,67.5,0,73.4589
110,30,20,72.3678,45,67.5849
130,30,20,67.5,0,77.9664
130,30,29.1667,68.6329,22.5,83.9948
150,30,20,72.3678,45,77.9672
150,30,29.1667,47.2658,22.5,90.0434
170,30,20,45,0,78.1401
170,30,29.1667,67.5,4.64E-06,102.7596
190,30,20,68.6329,22.5,79.802
190,30,29.1667,54.7356,45,104.0663
210,30,20,45,0,83.9481
210,30,29.1667,47.2658,22.5,102.4509
230,30,20,90,0,102.7209
230,30,29.1667,90,45,118.4534
250,30,29.1667,67.5,0,126.1264
50,42,20,68.6329,22.5,40.8772
50,42,29.1667,47.2658,22.5,46.3792
70,42,20,45,0,51.4497
90,42,20,68.6329,22.5,59.5523
110,42,20,54.7356,45,67.9073
130,42,20,67.5,1.15E-06,76.1386
150,42,20,90,0,82.5063
170,42,20,47.2658,22.5,78.3479
190,42,20,67.5,0,94.4475
210,42,20,47.2658,22.5,85.0053
230,42,20,67.5,2.86E-06,102.0204
250,42,29.1667,90,45,123.4737
250,42,38.3333,90,0,138.5477
70,54,20,45,0,44.961
110,54,20,47.2658,22.5,64.5237
130,54,20,54.7356,45,72.7844
150,54,20,68.6329,22.5,73.1607
170,54,20,45,0,78.6873
190,54,20,90,0,92.5504
250,54,20,47.2658,22.5,91.0122
250,54,29.1667,90,0,124.3721
250,54,38.3333,54.7356,45,133.143
250,54,47.5,68.6329,22.5,138.1205
90,66,20,72.3678,45,52.7351
90,66,65.8333,54.7356,45,86.3955
110,66,20,90,45,63.04
175,132.8571,111.6667,54.7356,45,144.2696
