X1,X2,X3,X4,X5,Y
50,30,20,67.5,0,41.8066
50,30,20,45,0,43.8004
50,30,20,67.5,4.23E-06,42.1807
50,30,20,68.6329,22.5,46.3704
50,30,20,47.2658,22.5,45.2338
50,30,20,45,7.63E-06,42.2163
50,30,20,72.3678,45,44.3482
50,30,20,54.7356,45,42.7689
116.6667,30,20,90,0,72.868
116.6667,30,20,67.5,0,73.5244
116.6667,30,20,45,0,68.0055
116.6667,30,20,67.5,6.10E-06,72.7023
116.6667,30,20,68.6329,22.5,66.2201
116.6667,30,20,47.2658,22.5,67.3197
116.6667,30,20,45,5.08E-06,72.5397
116.6667,30,20,72.3678,45,69.464
183.3333,30,20,90,0,91.9148
183.3333,30,20,67.5,0,93.1521
183.3333,30,20,45,0,80.2054
183.3333,30,20,67.5,2.28E-06,91.4427
183.3333,30,20,68.6329,22.5,78.7143
183.3333,30,20,47.2658,22.5,80.3129
183.3333,30,20,45,6.37E-06,90.9994
183.3333,30,20,72.3678,45,85.401
250,30,20,67.5,0,108.4711
250,30,20,45,0,88.8258
250,30,20,67.5,6.18E-06,106.1674
250,30,20,68.6329,22.5,88.7304
250,30,20,47.2658,22.5,90.389
250,30,20,90,45,105.4673
250,30,20,72.3678,45,98.2179
250,30,20,54.7356,45,97.7829
116.6667,70,20,90,0,64.8755
116.6667,70,20,67.5,0,64.973
116.6667,70,20,67.5,2.26E-07,64.8598
116.6667,70,20,68.6329,22.5,63.6075
116.6667,70,20,47.2658,22.5,63.8472
116.6667,70,20,45,2.50E-06,64.8442
116.6667,70,20,72.3678,45,64.2591
116.6667,70,20,54.7356,45,64.5874
116.6667,70,56.6667,90,0,100.4471
116.6667,70,56.6667,67.5,0,99.4343
116.6667,70,56.6667,45,0,104.8725
116.6667,70,56.6667,67.5,3.53E-06,100.5349
116.6667,70,56.6667,68.6329,22.5,112.6401
116.6667,70,56.6667,47.2658,22.5,109.2029
116.6667,70,56.6667,45,7.70E-06,100.6288
116.6667,70,56.6667,72.3678,45,106.9822
116.6667,70,56.6667,54.7356,45,102.1211
183.3333,70,20,90,0,88.9548
183.3333,70,20,67.5,0,89.7696
183.3333,70,20,45,0,80.5003
183.3333,70,20,67.5,3.84E-06,88.713
183.3333,70,20,68.6329,22.5,78.8274
183.3333,70,20,47.2658,22.5,80.037
183.3333,70,20,72.3678,45,84.0405
183.3333,70,20,54.7356,45,85.0849
183.3333,70,56.6667,90,0,135.6922
183.3333,70,56.6667,67.5,0,135.6922
183.3333,70,56.6667,45,0,135.6922
183.3333,70,56.6667,67.5,4.80E-06,135.6922
183.3333,70,56.6667,68.6329,22.5,135.6922
183.3333,70,56.6667,47.2658,22.5,135.6922
183.3333,70,56.6667,45,5.87E-06,135.6922
183.3333,70,56.6667,72.3678,45,135.6922
183.3333,70,56.6667,54.7356,45,135.6922
250,70,20,67.5,0,106.6984
250,70,20,45,0,89.9314
250,70,20,67.5,3.00E-06,105.0002
250,70,20,68.6329,22.5,89.5253
250,70,20,47.2658,22.5,90.89
250,70,20,90,45,104.5181
250,70,20,72.3678,45,97.9005
250,70,20,54.7356,45,98.0731
250,70,56.6667,90,0,159.7903
250,70,56.6667,67.5,0,160.6217
250,70,56.6667,67.5,4.14E-06,159.6192
250,70,56.6667,68.6329,22.5,151.4719
250,70,56.6667,47.2658,22.5,153.0885
250,70,56.6667,90,45,159.449
250,70,56.6667,72.3678,45,155.4193
250,70,56.6667,54.7356,45,157.1958
116.6667,110,20,90,0,34.9206
116.6667,110,20,67.5,0,34.036
116.6667,110,20,67.5,5.27E-06,34.9822
116.6667,110,20,68.6329,22.5,44.2736
116.6667,110,20,47.2658,22.5,40.5469
116.6667,110,20,45,8.66E-07,35.0511
116.6667,110,20,72.3678,45,39.172
116.6667,110,20,54.7356,45,35.0153
183.3333,110,20,90,0,80.1736
183.3333,110,20,67.5,0,80.571
183.3333,110,20,45,0,76.1286
183.3333,110,20,67.5,5.09E-06,80.0891
183.3333,110,20,68.6329,22.5,74.5396
183.3333,110,20,47.2658,22.5,75.328
183.3333,110,20,90,45,80.0028
183.3333,110,20,54.7356,45,78.5215
183.3333,110,56.6667,90,0,125.8038
183.3333,110,56.6667,67.5,0,125.2434
